,Title,Director,Year
352,Re-Animator,Stuart Gordon,1985
353,REC,Jaume Balagueró & Paco Plaza,2007
354,REC 2,Jaume Balagueró & Paco Plaza,2009
355,REC 3: Genesis,Paco Plaza,2012
356,REC 4: Apocalypse,Jaume Balagueró,2014
357,Redcon-1,Cheung Chee Keong,2018
358,Redneck Zombies,Pericles Lewnes,1987
359,Reel Zombies,David J. Francis,2008
360,Reichsführer SS,David B. Stewart,2014
361,Remains (Steve Niles' Remains),Colin Theys,2011
362,Remington and the Curse of the Zombadings (Zombadings 1: Patayin sa Shokot si Remington),Jade Castro,2011
363,Resident Evil,Paul W. S. Anderson,2002
364,Resident Evil: Afterlife,Paul W. S. Anderson,2010
365,Resident Evil: Apocalypse,Alexander Witt,2004
366,Resident Evil: Damnation,Makoto Kamiya,2012
367,Resident Evil: Degeneration (Biohazard: Degeneration),Makoto Kamiya,2008
368,Resident Evil: Extinction,Russell Mulcahy,2007
369,Resident Evil: The Final Chapter,Paul W. S. Anderson,2016
370,Resident Evil: Retribution,Paul W. S. Anderson,2012
371,Resident Evil: Vendetta,Takanori Tsujimoto,2017
372,Return of the Blind Dead,Amando de Ossorio,1973
373,The Return of the Living Dead,Dan O'Bannon,1985
374,Return of the Living Dead Part II,Ken Wiederhorn,1988
375,Return of the Living Dead 3,Brian Yuzna,1993
376,Return of the Living Dead: Necropolis,Ellory Elkayem,2005
377,Return of the Living Dead: Rave to the Grave,Ellory Elkayem,2005
378,The Crazies,Breck Eisner,2010
379,The Returned,Manuel Carballo,2013
380,Revenge of the Living Dead Girls,Pierre B. Reinhard,1987
381,The Revenant,D. Kerry Prior,2009
382,Revenge of the Zombies,Steve Sekely,1943
383,Revolt of the Zombies,Victor Halperin,1936
384,The Rezort,Steve Barker,2015
385,Rise of the Zombies,Nick Lyon,2012
386,Ritual (Tales from the Crypt: Ritual),Avi Nesher,2002
387,War of the Zombies (Rome Against Rome),Giuseppe Vari,1964
388,The Roost,Ti West,2005
389,Route 666,William Wesley,2001
390,Run,Touch Oudom,2013
391,Santo vs. the Zombies (Invasion of the Zombies),Benito Alazraki,1962
392,SARS Wars,Taweewat Wantha,2004
393,Scary or Die,"Bob Badway, Michael Emanuel, Igor Meglic",2012
394,Scooby-Doo on Zombie Island,Hiroshi Aoyama & Kazumi Fukushima,1998
395,School-Live!,Issei Shibata,2019
396,Schoolgirl Apocalypse,John S. Cairns,2011
397,Scouts Guide to the Zombie Apocalypse,Christopher B. Landon,2015
398,Seoul Station,Yeon Sang-ho,2016
399,The Serpent and the Rainbow,Wes Craven,1988
400,Severed: Forest of the Dead,Carl Bessai,2005
401,"Sexykiller (Sexykiller, morirás por ella)",Paco Cabeza,2008
402,Shadow: Dead Riot,Derek Wan,2006
403,"Shaolin vs. Evil Dead (Shao lin jiang shi, Siu lam geung see)",Douglas Kung,2004
404,Shatter Dead,Scooter McCrae,1994
405,Shaun of the Dead,Edgar Wright,2004
406,Shed of the Dead,Drew Cullingham,2019
407,Shock Waves,Ken Wiederhorn,1977
408,Sick: Survive the Night,Ryan M. Andrews,2012
409,"Silent Night, Zombie Night",Sean Cain,2009
410,"Sint (Saint, Saint Nick)",Dick Maas,2010
411,The Sky Has Fallen,Doug Roos,2009
412,Slither,James Gunn,2006
413,Special Dead,Thomas L. Phillips and Sean Simmons,2006
414,Splinter,Toby Wilkins,2008
415,Stacy,Naoyuki Tomomatsu,2001
416,Stag Night of the Dead,Neil Jones,2008
417,Stalled,Christian James,2013
418,State of Emergency,Turner Clay,2011
419,The Stink of Flesh,Scott Phillips,2005
420,The Stories of Grandmother Basyang (Mga Kuwento ni Lola Basyang),Maryo J. delos Reyes,1985
421,Sugar Hill,Paul Maslansky,1974
422,The Supernaturals,Armand Mastroianni,1986
423,Surf II,Randall Badat,1984
424,Survival of the Dead,George A. Romero,2009
425,Swamp Zombies,Len Kabasinski,2005
426,Tales of Terror,Roger Corman,1962
427,Teenage Exorcist,Grant Austin Waldman,1991
428,Teenage Zombies,Jerry Warren,1959
429,"Terror-Creatures from the Grave (5 tombe per un medium, Cemetery of the Living Dead)",Massimo Pupillo,1965
430,The Omega Man,Boris Sagal,1971
431,The Wailing,Na Hong-jin,2016
432,They Came Back,Robin Campillo,2004
433,They Walk,Charles House II,2010
434,Tokyo Zombie,Sakichi Satō,2005
435,Tombs of the Blind Dead,Amando de Ossorio,1972
436,Tormented,Jon Wright,2009
437,Toxic Zombies,Charles McCrann,1980
438,Trailer Park of Terror,Steven Goldmann,2008
439,Train to Busan,Yeon Sang-ho,2016
440,Trip Ubusan: The Lolas vs. Zombies,Mark A. Reyes,2017
441,Uncle Sam,William Lustig,1996
442,Undead,Michael Spierig & Peter Spierig,2003
443,Undead or Alive,Glasgow Phillips,2007
444,Undead Pool (Attack Girls' Swim Team versus the Undead),Kôji Kawano,2007
445,"Uniform SurviGirl I (Seifuku Survivor Girl, Seifuku sabaigâru I)",Hiroshi Kaneko,2008
446,Urban Decay,Harry Basil,2007
447,Valley of the Zombies,Philip Ford,1946
448,Vampires vs. Zombies (Carmilla the Lesbian Vampire),Vince D'Amato,2004
449,Vengeance of the Zombies (La rebelión de las muertas),León Klimovsky,1973
450,Vere Vazhi Ille (No Other Way),M.S. Prem Nath,2015
451,Versus (Vāsasu),Ryuhei Kitamura,2000
452,V/H/S,Adam Wingard (one segment only),2012
453,V/H/S/2,Eduardo Sánchez & Gregg Hale (one segment only),2013
454,The Video Dead,Robert Scott,1987
